Short Name	Comments
CID0001	Maximum size of files to upload is 2MB.
CID0001	Maximum number of files to upload is 3 for each question.
CID0001	Allowed formats are: pdf
CID0003	Maximum size of files to upload is 2MB.
CID0003	Maximum number of files to upload is 3 for each question.
CID0003	Allowed formats are: pdf
